,lat,lon,setor
6713,-49.27358461,-25.46090338,10
6714,-49.27345587,-25.4607484,10
6715,-49.27334858,-25.46061278,10
6716,-49.27206112,-25.4594891,10
6717,-49.271891,-25.4593547,10
6718,-49.27190222,-25.45934018,10
6719,-49.27185533,-25.45932652,10
6720,-49.27171779,-25.45921786,10
6721,-49.27143619,-25.45898903,10
6722,-49.27116093,-25.45874614,10
6723,-49.27096678,-25.45855915,10
6724,-49.27074024,-25.45830208,10
6725,-49.27073949,-25.45829626,10
6726,-49.27073429,-25.45829682,10
6727,-49.26925385,-25.4569866,10
6728,-49.26925867,-25.45695847,10
6729,-49.26923373,-25.4569688,10
6730,-49.2683704,-25.45623424,10
6731,-49.26811291,-25.45600174,10
6732,-49.26793676,-25.45586037,10
6733,-49.26791366,-25.45583921,10
6734,-49.26768375,-25.45555613,10
6735,-49.26706148,-25.45505239,10
6736,-49.26583839,-25.45394803,10
6737,-49.26562382,-25.45373491,10
6738,-49.26452947,-25.45276616,10
6739,-49.26437927,-25.45255304,10
6740,-49.26416469,-25.45239804,10
6741,-49.26392866,-25.45222366,10
6742,-49.26339222,-25.45170054,10
6743,-49.26287689,-25.45131545,10
6744,-49.26282206,-25.4512644,10
6745,-49.26280813,-25.45126407,10
6746,-49.26276995,-25.45123553,10
6747,-49.26273364,-25.45120169,10
6748,-49.26273337,-25.45119309,10
6749,-49.26265098,-25.45112465,10
6750,-49.26232595,-25.45082169,10
6751,-49.26231343,-25.45077196,10
6752,-49.26230582,-25.45075841,10
6753,-49.26229794,-25.45074428,10
6754,-49.26220447,-25.45070788,10
6755,-49.26220398,-25.450708,10
6756,-49.2621917,-25.45069656,10
6757,-49.26232582,-25.45075115,10
6758,-49.262346,-25.45079771,10
6759,-49.26234642,-25.45079635,10
6760,-49.26234801,-25.45077942,10
6761,-49.26234607,-25.45076252,10
6762,-49.26234068,-25.45074624,10
6763,-49.26233202,-25.45073118,10
6764,-49.26232041,-25.45071785,10
6765,-49.26230625,-25.45070673,10
6766,-49.26229004,-25.45069822,10
6767,-49.26211548,-25.45062552,10
6768,-49.26210476,-25.45061552,10
6769,-49.26208856,-25.4506143,10
6770,-49.26147601,-25.45035916,10
6771,-49.26147469,-25.45035862,10
6772,-49.26147337,-25.4503581,10
6773,-49.25978427,-25.44970774,10
6774,-49.25976913,-25.44970318,10
6775,-49.25975338,-25.44970087,10
6776,-49.25974095,-25.44970087,10
6777,-49.25987428,-25.44975332,10
6778,-49.26196715,-25.45060517,10
6779,-49.26194131,-25.45060322,10
6780,-49.2611764,-25.45029944,10
6781,-49.26116024,-25.4503051,10
6782,-49.26115059,-25.4502882,10
6783,-49.25997914,-25.44980697,10
6784,-49.2599597,-25.44981307,10
6785,-49.25995283,-25.44979545,10
6786,-49.25919459,-25.44949424,10
6787,-49.25918651,-25.44947237,10
6788,-49.25865007,-25.44923987,10
6789,-49.25862861,-25.44920111,10
6790,-49.2585857,-25.44918174,10
6791,-49.25831347,-25.4491437,10
6792,-49.25803429,-25.44903642,10
6793,-49.2576856,-25.44887657,10
6794,-49.25266987,-25.44784482,10
6795,-49.25244993,-25.44781575,10
6796,-49.25220316,-25.44776731,10
6797,-49.25029879,-25.44741855,10
6798,-49.24902206,-25.44713276,10
6799,-49.24772358,-25.44679976,10
